uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
13c2b21a-503e-43b5-ba76-9838a5b73e94,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,,,,,NEON.PLA.D10.RMNP.02139,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
3692b0ba-9bea-4849-8b37-64c53aaef048,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,,,,,NEON.PLA.D10.RMNP.02329,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
8155b62d-2274-47a3-9a63-2b9eaaba1c21,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,31,9.5,16.6,,NEON.PLA.D10.RMNP.02129,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
367739c7-e219-47ff-8712-bb9c514699a6,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,,,,,NEON.PLA.D10.RMNP.02328,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
e3c1dc8a-c8a1-4b75-8c2d-f158c1e738e9,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,,,,,NEON.PLA.D10.RMNP.02148,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
d1334b57-5216-418d-9f32-fc5aa0594f8b,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,,,,,NEON.PLA.D10.RMNP.02324,,,NEON.DOC.000987vE,PIEN,Picea engelmannii Parry ex Engelm.,species,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
edc47804-b61b-4a59-9bb2-d496dba97a9b,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,31,8.6,339.5,,NEON.PLA.D10.RMNP.02128,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
41f6da88-06c4-40b6-8a12-d51056cf5bfc,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,25,18.8,334.7,,NEON.PLA.D10.RMNP.02314,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
723d30ac-37ae-417b-898f-71510667b6dd,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,21,13.5,23.0,,NEON.PLA.D10.RMNP.02125,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
36998b6e-985c-400d-acfd-0a1564a8feb8,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,,,,,NEON.PLA.D10.RMNP.02142,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
c57afef0-6f19-4977-ad0e-ba2da11a6810,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,,,,,NEON.PLA.D10.RMNP.02136,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
6fb64c8f-3d9e-42a2-a00c-8aeb22396c87,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,31,10.0,78.1,,NEON.PLA.D10.RMNP.02130,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,sscherneck@battelleecology.org,
307c23f5-7c34-43e0-9da8-9bce1a71b247,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,21,,,,,,NEON.PLA.D10.RMNP.02134,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
9e5c90f4-0009-484c-bcf1-d1871b088824,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,41,17.4,169.4,,NEON.PLA.D10.RMNP.02319,,,NEON.DOC.000987vE,PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
631441da-a77d-4dc7-b5ed-efb893c1eb75,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,23,,,,,,NEON.PLA.D10.RMNP.02327,,,NEON.DOC.000987vE,JUCOD,Juniperus communis L. var. depressa Pursh,variety,,,,,,dbradley@battelleecology.org,jmorris@battelleecology.org,
