uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"c3b076dd-0f5b-47f2-a727-07a85ea6bfaa","CPER_074.basePlot.vst","2016-10-17",,"D10","CPER","CPER_074","tower","grasslandHerbaceous",40.820001,-104.746711,"WGS84",10.1,521359.85,4518806.64,"13N",1646.1,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"skovach@field-ops.org","jlinden@field-ops.org",
"bfa20fe2-7ae9-4bb1-86a4-28383747e1a6","CPER_061.basePlot.vst","2016-10-17",,"D10","CPER","CPER_061","tower","grasslandHerbaceous",40.818121,-104.750648,"WGS84",10.1,521028.44,4518597.00,"13N",1652.8,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","Y","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","skovach@field-ops.org",
"526e743b-c6fc-48cf-a321-3e743119a4a3","CPER_053.basePlot.vst","2016-10-17",,"D10","CPER","CPER_053","tower","grasslandHerbaceous",40.817842,-104.749919,"WGS84",10.1,521090.00,4518566.20,"13N",1651.5,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"skovach@field-ops.org","kbenson@field-ops.org",
"825fc973-fd2f-42bb-ae0b-934aad733f00","CPER_058.basePlot.vst","2016-10-17",,"D10","CPER","CPER_058","tower","grasslandHerbaceous",40.820271,-104.745646,"WGS84",10.1,521449.57,4518836.87,"13N",1647.0,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","jlinden@field-ops.org",
"7db25d16-711e-4a4a-9e3d-57f47d2ed6ec","CPER_068.basePlot.vst","2016-10-17",,"D10","CPER","CPER_068","tower","grasslandHerbaceous",40.819722,-104.744935,"WGS84",10.1,521509.71,4518776.10,"13N",1645.1,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","jlinden@field-ops.org",
"f897d092-ca80-4da3-9a22-6ada834df63f","CPER_045.basePlot.vst","2016-10-17",,"D10","CPER","CPER_045","tower","grasslandHerbaceous",40.817292,-104.750288,"WGS84",20.1,521059.06,4518505.06,"13N",1652.0,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"skovach@field-ops.org","kbenson@field-ops.org",
"fa2dee35-05f5-4fde-a25e-c63c151688d2","CPER_069.basePlot.vst","2016-10-17",,"D10","CPER","CPER_069","tower","grasslandHerbaceous",40.818644,-104.749581,"WGS84",10.1,521118.25,4518655.31,"13N",1652.8,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","jlinden@field-ops.org",
"3106df49-c0f1-490c-a504-af338676b1df","CPER_046.basePlot.vst","2016-10-18",,"D10","CPER","CPER_046","tower","grasslandHerbaceous",40.817297,-104.747096,"WGS84",20.1,521328.25,4518506.39,"13N",1652.1,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"skovach@field-ops.org","kbenson@field-ops.org",
"027e406d-b3ec-487e-ad58-fcf6c8c124ee","CPER_055.basePlot.vst","2016-10-18",,"D10","CPER","CPER_055","tower","grasslandHerbaceous",40.819185,-104.745645,"WGS84",10.1,521450.01,4518716.32,"13N",1645.2,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","jlinden@field-ops.org",
"95879890-109a-4757-9e86-f10c78d1a002","CPER_065.basePlot.vst","2016-10-18",,"D10","CPER","CPER_065","tower","grasslandHerbaceous",40.818362,-104.743864,"WGS84",10.1,521600.47,4518625.40,"13N",1645.6,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@neoninc.org","jlinden@field-ops.org",
"dcdfb9f7-014b-4b46-b706-d3fdeb050cbc","CPER_066.basePlot.vst","2016-10-18",,"D10","CPER","CPER_066","tower","grasslandHerbaceous",40.816751,-104.749576,"WGS84",10.1,521119.27,4518445.18,"13N",1651.2,0.1,,"vst_CPER_2016",,,,"NEON.DOC.000987vE","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"skovach@field-ops.org","kbenson@field-ops.org",
