uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"75d074b1-6eea-4904-a1b9-a824105f87d0","CPER_065.basePlot.vst","2015-10-01",,"D10","CPER","CPER_065","tower","grasslandHerbaceous",40.818362,-104.743864,"WGS84",10.1,521600.47,4518625.40,"13N",1645.6,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
"5cca224b-5ab9-4654-ba01-25027403ac9f","CPER_055.basePlot.vst","2015-10-01",,"D10","CPER","CPER_055","tower","grasslandHerbaceous",40.819185,-104.745645,"WGS84",10.1,521450.01,4518716.32,"13N",1645.2,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
"d60abe73-4c38-44ce-99ca-b0c09e0e4238","CPER_050.basePlot.vst","2015-10-01",,"D10","CPER","CPER_050","tower","grasslandHerbaceous",40.818645,-104.744577,"WGS84",10.1,521540.25,4518656.64,"13N",1645.4,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
"691af087-e86c-461a-af97-3a4ecb4f364f","CPER_067.basePlot.vst","2015-10-01",,"D10","CPER","CPER_067","tower","grasslandHerbaceous",40.818646,-104.745295,"WGS84",10.1,521479.70,4518656.57,"13N",1645.5,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
"71d0bae4-58e1-4546-ada2-94916bf361a8","CPER_068.basePlot.vst","2015-10-01",,"D10","CPER","CPER_068","tower","grasslandHerbaceous",40.819722,-104.744935,"WGS84",10.1,521509.71,4518776.10,"13N",1645.1,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,,"jjensen@field-ops.org","legacyData"
"08de5c8e-4142-483f-9f57-1be00df3bf50","CPER_071.basePlot.vst","2015-10-02",,"D10","CPER","CPER_071","tower","grasslandHerbaceous",40.819728,-104.745640,"WGS84",10.1,521450.25,4518776.60,"13N",1645.2,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,,"jjensen@field-ops.org","legacyData"
"1e25a69f-302b-46f9-9b30-1887d93f2cc9","CPER_047.basePlot.vst","2015-10-02",,"D10","CPER","CPER_047","tower","grasslandHerbaceous",40.818371,-104.746715,"WGS84",20.1,521360.03,4518625.70,"13N",1649.3,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
"76e82df4-209e-4047-87e3-31bffef1fe72","CPER_069.basePlot.vst","2015-10-02",,"D10","CPER","CPER_069","tower","grasslandHerbaceous",40.818644,-104.749581,"WGS84",10.1,521118.25,4518655.31,"13N",1652.8,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,,"jjensen@field-ops.org","legacyData"
"cdf46906-127e-47ce-97a8-2bb0f86ad5d8","CPER_074.basePlot.vst","2015-10-02",,"D10","CPER","CPER_074","tower","grasslandHerbaceous",40.820001,-104.746711,"WGS84",10.1,521359.85,4518806.64,"13N",1646.1,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,,"jjensen@field-ops.org","legacyData"
"b9b2680f-a2ec-44c8-9caf-e95f454a31d5","CPER_058.basePlot.vst","2015-10-02",,"D10","CPER","CPER_058","tower","grasslandHerbaceous",40.820271,-104.745646,"WGS84",10.1,521449.57,4518836.87,"13N",1647.0,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,,,"jjensen@field-ops.org","legacyData"
"9d49ba76-81a1-4229-a32e-ee01d9f56cea","CPER_073.basePlot.vst","2015-10-02",,"D10","CPER","CPER_073","tower","grasslandHerbaceous",40.819188,-104.744585,"WGS84",10.1,521539.40,4518716.91,"13N",1644.4,0.1,,"vst_CPER_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,,,"jjensen@field-ops.org","legacyData"
