uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,tagID,individualID,tagStatus,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"6a9f6d76-f02d-483c-9fba-312a62e62062","CPER_046.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_046","41","4",,"TEMP.PLA.CPER.2015.46166",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,17,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"7c7cec07-d39d-47a8-9e0f-1536c302de44","CPER_066.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_066","40","3",,"TEMP.PLA.CPER.2015.66155",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,41,1,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"79497f98-a57c-46e8-ad3c-026cea271601","CPER_070.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_070","32",,,"TEMP.PLA.CPER.2015.70156",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,49,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"e6b5ca94-e224-4e11-a793-3e53fc9a1971","CPER_070.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_070","40",,,"TEMP.PLA.CPER.2015.70157",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,322,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"80988701-727b-4115-afd1-4214e2a8e367","CPER_066.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_066","41","1",,"TEMP.PLA.CPER.2015.66159",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,89,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"4f8ed718-e0d2-4eb0-9698-cbdef2b90c0e","CPER_066.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_066","41","4",,"TEMP.PLA.CPER.2015.66160",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,51,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"e1c91164-40c4-4147-ba11-041df565e34b","CPER_070.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_070","31",,,"TEMP.PLA.CPER.2015.70155",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,82,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"e6eac3d1-64c1-4f78-b34f-b959e08333c0","CPER_070.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_070","41",,,"TEMP.PLA.CPER.2015.70158",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,284,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"cacd789d-77c5-4100-8f0e-b99643bc5f15","CPER_059.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_059","32",,,"TEMP.PLA.CPER.2015.59156",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,294,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"5c86590f-8e06-4194-a284-48f4a57dfae3","CPER_062.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_062","32","4",,"TEMP.PLA.CPER.2015.62163",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,93,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"f206cf75-a6c4-4978-b9e2-bbe596b83c61","CPER_061.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_061","41","1",,"TEMP.PLA.CPER.2015.61165",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,50,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"f061c687-a135-4d41-9221-1aadb31c943b","CPER_059.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_059","40",,,"TEMP.PLA.CPER.2015.59157",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,1044,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"99b9f5ad-4b61-4129-9b41-db9dc4719261","CPER_061.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_061","31","4",,"TEMP.PLA.CPER.2015.61160",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,52,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"367e4989-649e-4ff4-a3d5-f9853b072c01","CPER_064.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_064","41",,,"TEMP.PLA.CPER.2015.64158",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,357,9,,,,,"jjensen@field-ops.org","jjensen@field-ops.org",
"298bbcd2-46ab-4c71-8b65-e2adf1b61fc4","CPER_066.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_066","32","2",,"TEMP.PLA.CPER.2015.66163",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,19,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"8f7c6de8-2947-4dbe-904d-b05a921e5c3b","CPER_064.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_064","40",,,"TEMP.PLA.CPER.2015.64157",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,461,12,,,,,"jjensen@field-ops.org","jjensen@field-ops.org",
"912a96fe-4367-4582-bdff-0dccfc8b6175","CPER_061.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_061","40","1",,"TEMP.PLA.CPER.2015.61163",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,183,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"6eeb109d-b751-4e2e-ba27-822d4d134459","CPER_062.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_062","32","2",,"TEMP.PLA.CPER.2015.62162",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,77,0,,,,,"dbradley@field-ops.org","mbitters@field-ops.org",
"35ea42f8-4a0a-4b0b-9bd7-93b41b1f45ed","CPER_061.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_061","32","4",,"TEMP.PLA.CPER.2015.61162",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,68,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"bbb9d192-1636-49f3-a4da-a6ab339ef88b","CPER_059.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_059","41",,,"TEMP.PLA.CPER.2015.59158",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,404,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
"a9a932dd-0158-42b9-9333-d7d9a76ae576","CPER_064.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_064","32",,,"TEMP.PLA.CPER.2015.64156",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,296,9,,,,,"jjensen@field-ops.org","jjensen@field-ops.org",
"9523466f-9538-4bee-8133-822f1d74ae8b","CPER_061.basePlot.vst","2015-09-28","vst_CPER_2015","D10","CPER","CPER_061","40","3",,"TEMP.PLA.CPER.2015.61164",,"OPPO","Opuntia polyacantha Haw.","species",,,,"cactus",,,,,,,,,,,,,,,,,,,164,0,,,,,"kbarrett@field-ops.org","jrappaport@field-ops.org",
